disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Large (500+),Government/Public Sector,1.6,9,1,1
Chronic Illness,Leave of Absence,Vision,$1–$500,Large (500+),Healthcare,6.1,23,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Hearing,"$2,001+",Large (500+),Healthcare,8.0,27,0,1
Chronic Illness,Assistive Technology,Concentration/Focus,"$501–$2,000",Small (<50),Education,6.8,33,2,0
Musculoskeletal,Assistive Technology,Mobility,$1–$500,Large (500+),Retail/Hospitality,4.3,2,2,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$0 (No Cost),Large (500+),Technology,15.9,19,0,1
Chronic Illness,Physical Modification,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,1.6,82,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Communication,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,1.9,15,0,1
Musculoskeletal,Ergonomic Equipment,Vision,"$501–$2,000",Mid-size (50–499),Technology,4.9,46,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Dexterity,"$501–$2,000",Small (<50),Manufacturing,3.0,137,1,1
